,date,universe,weights,cvar,tracking_error,turnover,n_positions,status
0,2011-03-31,"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'GOOGL', 'GOOG', 'META', 'TSLA', 'BRK-B', 'JPM', 'JNJ', 'V', 'UNH', 'PG', 'MA', 'HD', 'BAC', 'CVX', 'LLY', 'XOM', 'AVGO', 'COST', 'ABBV', 'PFE', 'MRK', 'PEP', 'KO', 'ADBE', 'CSCO', 'WMT', 'MCD', 'ACN', 'CRM', 'TMO', 'DIS', 'LIN', 'NFLX', 'ABT', 'DHR', 'WFC', 'CMCSA', 'VZ', 'NEE', 'NKE', 'PM', 'TXN', 'HON', 'UPS', 'LOW', 'RTX', 'MS', 'INTC', 'GS', 'AMD', 'IBM', 'SBUX', 'CAT', 'DE', 'UNP', 'BA']","0.01666721,0.02201807,0.00421509,0.01028019,0.00544641,0.01473188,-4.4e-07,0.00462529,0.01666678,0.01666653,0.00914514,-1.09e-06,0.0307001,0.01666638,0.00911975,-4.2e-07,0.02697087,0.03095121,0.0166665,0.04999833,1.22e-06,0.01666798,-4.4e-07,0.00981226,0.02768773,0.0166654,0.00715047,0.01666782,0.01358651,0.01607025,0.016667,0.02781093,0.01502261,0.01666716,0.01666688,0.00989561,0.01529103,0.00512551,0.01881407,0.05000157,0.01666832,0.02591921,0.01666789,0.0166657,0.01666521,0.00671571,0.0500002,0.03833733,0.01666978,0.01666696,0.01666776,0.02593662,0.01666735,0.00239304,0.01666684,1.708e-05,0.02781507,0.01666778,0.03251747,0.00586932",0.0018940840616969228,0.0014056930554936138,0.47098458369647483,54,optimal
1,2011-06-30,"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'GOOGL', 'GOOG', 'META', 'TSLA', 'BRK-B', 'JPM', 'JNJ', 'V', 'UNH', 'PG', 'MA', 'HD', 'BAC', 'CVX', 'LLY', 'XOM', 'AVGO', 'COST', 'ABBV', 'PFE', 'MRK', 'PEP', 'KO', 'ADBE', 'CSCO', 'WMT', 'MCD', 'ACN', 'CRM', 'TMO', 'DIS', 'LIN', 'NFLX', 'ABT', 'DHR', 'WFC', 'CMCSA', 'VZ', 'NEE', 'NKE', 'PM', 'TXN', 'HON', 'UPS', 'LOW', 'RTX', 'MS', 'INTC', 'GS', 'AMD', 'IBM', 'SBUX', 'CAT', 'DE', 'UNP', 'BA']","0.02272818,0.02202767,0.00638247,0.01055565,0.00197133,0.00918652,2.07e-06,0.00463676,0.01667052,0.01730157,0.00915562,0.00156533,0.03070242,0.03404542,0.00912663,-7.6e-07,0.02696877,0.04144509,0.01668283,0.04999955,0.00463949,0.0088817,2.07e-06,0.00981556,0.0276942,0.03308687,0.00715722,0.01564948,0.01358462,2.46e-06,0.01667385,0.02130942,0.00759229,0.01667835,0.01667574,0.00989694,0.01208287,0.00513233,0.01881917,0.04362783,0.01757712,0.02592976,0.01686085,0.01666887,0.01667239,0.00663691,0.05000083,0.03834321,0.01666843,0.01667308,0.01667574,0.03189455,0.01082428,0.00239974,0.01639439,2.25e-06,0.02776293,0.01651609,0.0325207,0.0028217",0.0017380279357083858,0.0012547914671511846,0.13374562408090626,55,optimal
2,2011-09-30,"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'GOOGL', 'GOOG', 'META', 'TSLA', 'BRK-B', 'JPM', 'JNJ', 'V', 'UNH', 'PG', 'MA', 'HD', 'BAC', 'CVX', 'LLY', 'XOM', 'AVGO', 'COST', 'ABBV', 'PFE', 'MRK', 'PEP', 'KO', 'ADBE', 'CSCO', 'WMT', 'MCD', 'ACN', 'CRM', 'TMO', 'DIS', 'LIN', 'NFLX', 'ABT', 'DHR', 'WFC', 'CMCSA', 'VZ', 'NEE', 'NKE', 'PM', 'TXN', 'HON', 'UPS', 'LOW', 'RTX', 'MS', 'INTC', 'GS', 'AMD', 'IBM', 'SBUX', 'CAT', 'DE', 'UNP', 'BA']","0.02271869,0.02202118,1.62e-06,0.01121635,0.00306798,0.01669743,-1.83e-06,0.00549817,0.03239101,0.01730646,0.00914421,0.00156077,0.030696,0.03403441,0.0203958,0.00207486,0.02208344,0.04998054,0.03536038,0.04999431,0.00901409,0.00886745,-1.83e-06,0.00980855,0.01968732,0.03308049,-2.24e-06,0.01564446,0.01362536,0.00536444,0.01666266,0.02340844,0.01443633,0.02003144,0.01666997,0.02499613,3.07e-05,0.00511568,0.01952223,0.04365839,0.0430073,0.02591063,0.01685194,0.00377248,0.01143437,0.00073592,0.00083087,0.03833597,0.00241947,0.01666922,0.00030387,0.03775315,3.56e-06,0.00584857,0.00883941,0.01396227,0.02795806,0.01868336,0.0325144,0.00830335",0.0016219168297830508,0.0012735210179862888,0.32172152179211305,54,optimal
3,2011-12-30,"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'GOOGL', 'GOOG', 'META', 'TSLA', 'BRK-B', 'JPM', 'JNJ', 'V', 'UNH', 'PG', 'MA', 'HD', 'BAC', 'CVX', 'LLY', 'XOM', 'AVGO', 'COST', 'ABBV', 'PFE', 'MRK', 'PEP', 'KO', 'ADBE', 'CSCO', 'WMT', 'MCD', 'ACN', 'CRM', 'TMO', 'DIS', 'LIN', 'NFLX', 'ABT', 'DHR', 'WFC', 'CMCSA', 'VZ', 'NEE', 'NKE', 'PM', 'TXN', 'HON', 'UPS', 'LOW', 'RTX', 'MS', 'INTC', 'GS', 'AMD', 'IBM', 'SBUX', 'CAT', 'DE', 'UNP', 'BA']","0.03661185,0.02079036,4.75e-06,0.00993271,0.00132813,0.01670498,7.66e-06,0.00784725,0.03238914,0.01730575,0.00915057,0.00156416,0.02072955,0.00986286,0.02574955,0.00934252,0.01501348,0.0499988,0.04521301,0.05000151,0.00528804,0.00887015,7.66e-06,0.0098107,0.01192103,0.03308727,2.21e-06,0.01041506,0.02146231,0.00537046,0.03908012,0.01846311,0.01738565,0.00963152,0.0166635,0.00097145,-1.67e-06,3.33e-06,0.03795853,0.02484639,0.02158143,0.02173472,0.0191037,0.00377229,0.01143875,0.00445636,0.01874762,0.03833859,0.00242162,0.01666341,0.02143458,0.03350122,-3.02e-06,0.00584631,0.00884151,0.01955827,0.02795178,0.02548415,0.03379728,0.01454388",0.0014376052921326974,0.0012777775229230223,0.31078892652075607,53,optimal
4,2012-03-30,"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'GOOGL', 'GOOG', 'META', 'TSLA', 'BRK-B', 'JPM', 'JNJ', 'V', 'UNH', 'PG', 'MA', 'HD', 'BAC', 'CVX', 'LLY', 'XOM', 'AVGO', 'COST', 'ABBV', 'PFE', 'MRK', 'PEP', 'KO', 'ADBE', 'CSCO', 'WMT', 'MCD', 'ACN', 'CRM', 'TMO', 'DIS', 'LIN', 'NFLX', 'ABT', 'DHR', 'WFC', 'CMCSA', 'VZ', 'NEE', 'NKE', 'PM', 'TXN', 'HON', 'UPS', 'LOW', 'RTX', 'MS', 'INTC', 'GS', 'AMD', 'IBM', 'SBUX', 'CAT', 'DE', 'UNP', 'BA']","0.028876,0.02078499,0.0040488,0.00993915,0.00037838,0.01671476,-2.87e-06,0.00219658,0.03239127,0.01730494,0.00914846,0.00157509,0.02072947,0.00985897,0.0195805,0.00599226,0.01924837,0.04999828,0.04171755,0.0499988,0.00281048,0.00556693,-2.87e-06,0.02279055,-4.3e-07,0.02621929,-1.24e-06,0.00903846,0.02411358,1.14e-06,0.02668602,0.01846431,0.01738871,0.01120094,0.01666282,0.00713462,0.00184832,0.01509352,0.03796003,0.01506031,0.0301148,0.01547676,0.04999424,0.00376526,0.01592424,0.01780632,0.01875173,0.03833681,0.01751929,2.12e-06,0.02143344,0.02078017,-1.1e-07,0.01418798,0.00884128,0.02248973,0.04359806,0.00137004,0.02654801,0.01454462",0.0012824093043992785,0.001184278589038488,0.29580400017625874,53,optimal
5,2012-06-29,"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'GOOGL', 'GOOG', 'META', 'TSLA', 'BRK-B', 'JPM', 'JNJ', 'V', 'UNH', 'PG', 'MA', 'HD', 'BAC', 'CVX', 'LLY', 'XOM', 'AVGO', 'COST', 'ABBV', 'PFE', 'MRK', 'PEP', 'KO', 'ADBE', 'CSCO', 'WMT', 'MCD', 'ACN', 'CRM', 'TMO', 'DIS', 'LIN', 'NFLX', 'ABT', 'DHR', 'WFC', 'CMCSA', 'VZ', 'NEE', 'NKE', 'PM', 'TXN', 'HON', 'UPS', 'LOW', 'RTX', 'MS', 'INTC', 'GS', 'AMD', 'IBM', 'SBUX', 'CAT', 'DE', 'UNP', 'BA']","0.03625059,0.02593579,0.00116383,0.00993384,0.00037507,0.01671153,5.5e-07,0.00410015,0.03238758,0.01765972,0.00914599,0.00138241,0.03176262,0.00917051,0.01957606,0.0131386,0.01158456,0.04999909,0.04171497,0.04151559,0.00227139,-1.93e-06,-6.7e-07,0.02278737,2.8e-07,0.02621839,-3.9e-07,0.00865951,0.02417443,-4.09e-06,0.02018609,0.02079987,0.01737839,0.01553954,0.01666038,0.00713099,-2.22e-06,0.0150902,0.03784182,0.02696695,0.03010934,0.01547417,0.04999478,-1.45e-06,0.01592276,0.0178011,0.01316456,0.03833232,0.00295171,-9.6e-07,0.02143182,0.01664452,-4.1e-07,0.01418312,0.01375367,0.02248255,0.03786348,0.00687253,0.02654428,0.02127075",0.0014311849735357933,0.0011914777702964289,0.13750890156712223,50,optimal
6,2012-09-28,"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'GOOGL', 'GOOG', 'META', 'TSLA', 'BRK-B', 'JPM', 'JNJ', 'V', 'UNH', 'PG', 'MA', 'HD', 'BAC', 'CVX', 'LLY', 'XOM', 'AVGO', 'COST', 'ABBV', 'PFE', 'MRK', 'PEP', 'KO', 'ADBE', 'CSCO', 'WMT', 'MCD', 'ACN', 'CRM', 'TMO', 'DIS', 'LIN', 'NFLX', 'ABT', 'DHR', 'WFC', 'CMCSA', 'VZ', 'NEE', 'NKE', 'PM', 'TXN', 'HON', 'UPS', 'LOW', 'RTX', 'MS', 'INTC', 'GS', 'AMD', 'IBM', 'SBUX', 'CAT', 'DE', 'UNP', 'BA']","0.03625264,0.03558703,0.00116879,0.00580035,0.01163778,0.03693308,-2.99e-06,-1.13e-05,0.02660348,0.02903819,0.00914564,0.0013858,0.02387232,0.00916958,0.03026439,0.02033964,0.00584682,0.0499986,0.04171627,0.04151369,0.00537369,5.3e-07,-2.5e-07,0.02278777,1.34e-06,0.00264705,6.8e-07,0.00866141,0.0220721,-6e-08,0.01094641,0.02080051,0.0126832,0.01554006,0.03653992,0.00712994,-4.79e-06,0.0244448,0.01872638,0.0308828,0.03011374,0.0154771,0.04999534,-6.4e-07,0.0415253,0.02756347,0.00304984,1.5e-07,-3.28e-06,-6.9e-07,0.02434298,0.01664242,7.7e-07,0.01061686,0.01997517,0.01908842,0.03785997,0.01576418,0.02654155,0.00595402",0.00136794983091098,0.0011986051669239546,0.32015844638483143,47,optimal
7,2012-12-31,"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'GOOGL', 'GOOG', 'META', 'TSLA', 'BRK-B', 'JPM', 'JNJ', 'V', 'UNH', 'PG', 'MA', 'HD', 'BAC', 'CVX', 'LLY', 'XOM', 'AVGO', 'COST', 'ABBV', 'PFE', 'MRK', 'PEP', 'KO', 'ADBE', 'CSCO', 'WMT', 'MCD', 'ACN', 'CRM', 'TMO', 'DIS', 'LIN', 'NFLX', 'ABT', 'DHR', 'WFC', 'CMCSA', 'VZ', 'NEE', 'NKE', 'PM', 'TXN', 'HON', 'UPS', 'LOW', 'RTX', 'MS', 'INTC', 'GS', 'AMD', 'IBM', 'SBUX', 'CAT', 'DE', 'UNP', 'BA']","0.05002672,0.05000015,0.00081238,-2.592e-05,6.45e-06,0.00662961,4e-08,0.00041579,0.02660157,0.02903499,0.03919727,0.00339514,0.02080243,0.00916598,0.03026081,0.01653413,0.00677797,0.0433722,0.02384921,0.04150949,0.00536465,-1.4e-06,-1.75e-06,0.02278587,-8.3e-07,0.00264363,1.43e-06,0.00865564,0.02201666,0.0117756,-1.2e-06,0.0407587,0.01267935,0.01645814,0.03653524,0.0134392,-5.9e-06,0.0244445,0.01365908,0.04628207,0.0301084,0.02740225,0.04999176,0.01016194,0.0135911,0.02755813,0.00304768,-1.31e-06,-2.21e-06,-2.42e-06,0.01341055,0.01197226,0.004695,0.00074494,0.02900411,-8.2e-07,0.0378526,0.01835061,0.02655709,0.0197033",0.001304449689639038,0.0010638670008261903,0.3362676204962175,47,optimal
8,2013-03-28,"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'GOOGL', 'GOOG', 'META', 'TSLA', 'BRK-B', 'JPM', 'JNJ', 'V', 'UNH', 'PG', 'MA', 'HD', 'BAC', 'CVX', 'LLY', 'XOM', 'AVGO', 'COST', 'ABBV', 'PFE', 'MRK', 'PEP', 'KO', 'ADBE', 'CSCO', 'WMT', 'MCD', 'ACN', 'CRM', 'TMO', 'DIS', 'LIN', 'NFLX', 'ABT', 'DHR', 'WFC', 'CMCSA', 'VZ', 'NEE', 'NKE', 'PM', 'TXN', 'HON', 'UPS', 'LOW', 'RTX', 'MS', 'INTC', 'GS', 'AMD', 'IBM', 'SBUX', 'CAT', 'DE', 'UNP', 'BA']","0.04182121,0.02340446,0.00931594,-5.32e-06,0.00023541,0.00711321,7.2e-07,0.00445709,0.02660443,0.01758494,0.03919852,0.00778795,0.02080527,0.01551055,0.03026423,0.01653571,0.00678354,0.04447458,0.02385163,0.04151262,0.00988993,0.00807635,6.2e-07,0.02278947,1.36e-06,1.69e-06,6.41e-06,0.02476065,0.01961414,0.01177617,5.2e-07,0.04075703,-5.93e-06,0.02133465,0.03936282,0.01344156,0.00419593,0.02444782,0.00813767,0.04628461,0.03011195,0.03265215,0.04080244,0.00833174,0.01358398,0.03332902,0.00304919,1.6e-06,9.24e-06,0.00632954,0.01341944,3.7e-07,0.02562328,0.00837617,0.03567162,-1.68e-06,0.0117712,0.01835177,0.02675437,0.01970246",0.001340174681248452,0.0010287240164630696,0.23717137646228784,48,optimal
9,2013-06-28,"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'GOOGL', 'GOOG', 'META', 'TSLA', 'BRK-B', 'JPM', 'JNJ', 'V', 'UNH', 'PG', 'MA', 'HD', 'BAC', 'CVX', 'LLY', 'XOM', 'AVGO', 'COST', 'ABBV', 'PFE', 'MRK', 'PEP', 'KO', 'ADBE', 'CSCO', 'WMT', 'MCD', 'ACN', 'CRM', 'TMO', 'DIS', 'LIN', 'NFLX', 'ABT', 'DHR', 'WFC', 'CMCSA', 'VZ', 'NEE', 'NKE', 'PM', 'TXN', 'HON', 'UPS', 'LOW', 'RTX', 'MS', 'INTC', 'GS', 'AMD', 'IBM', 'SBUX', 'CAT', 'DE', 'UNP', 'BA']","0.03861084,0.0233999,0.00931795,-2.69e-06,0.0002332,0.00711094,-2e-07,0.00446377,0.02660538,0.00690196,0.03919741,0.01334014,0.00903635,0.01551074,0.01892469,0.01653584,0.00678826,0.04447485,0.01825679,0.04151254,0.00981732,0.02501448,2.8e-07,0.02274304,-0.0,3.9e-07,1.107e-05,0.02476132,0.01193199,0.01177476,2.2e-07,0.04075967,-4.32e-06,0.02728995,0.0393641,0.01344511,0.0043019,0.02444874,0.0081384,0.04628397,0.02772794,0.04999518,0.0271291,0.00833179,0.01358609,0.03332954,0.01022679,9e-08,0.00751993,0.00970435,0.01931052,9e-08,0.02562147,0.00607693,0.03488578,1.8e-07,0.0117712,0.01743347,0.02734605,0.01970251",0.0012179072465431278,0.001086758784963783,0.14095732648641393,49,optimal
