,weights,cvar,tracking_error,turnover,n_positions,status
2011-03-31,"[0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667]",,,,60,exception
2011-06-30,"[0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667]",,,,60,exception
2011-09-30,"[0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667]",,,,60,exception
2011-12-30,"[0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667]",,,,60,exception
2012-03-30,"[0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667]",,,,60,exception
2012-06-29,"[0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667]",,,,60,exception
2012-09-28,"[0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667]",,,,60,exception
2012-12-31,"[0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667]",,,,60,exception
2013-03-28,"[0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667]",,,,60,exception
2013-06-28,"[0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,
 0.01666667,0.01666667,0.01666667,0.01666667,0.01666667,0.01666667]",,,,60,exception
