,fmp_alpha,mom_1m,mom_3m,mom_12m
AAPL,0.0,0.5251831754448157,0.4933979049082593,0.21502467194483277
MSFT,0.0,0.963358633268784,0.5902040812471094,0.24210704317381604
AMZN,0.0,1.2482373792272212,0.5659746380993496,0.10153359216532598
NVDA,0.0,1.001176788743213,1.0533226207634252,0.6581767921261038
GOOGL,0.0,1.4863989686621637,0.9758353252065963,0.10288073626700323
GOOG,0.0,1.4924241439023862,0.9841774541030941,0.10480317484298451
META,0.0,1.168312243250917,1.2225531197284147,0.3580335256495264
TSLA,0.0,-1.2726404953899957,-0.7830491214042743,-0.22712901335931102
BRK-B,0.0,0.005788222716622826,0.1761368126621239,0.06493286623193506
JPM,0.0,-0.4621322146713003,-0.17903236944353162,0.19288973888726346
JNJ,0.0,-0.4567298891447509,-0.02424376803294903,-0.06366124296361098
V,0.0,-0.11920484913043339,0.040077112361665,0.1818839450443669
UNH,0.0,-0.6074079372019141,-0.0720484848765457,0.029253387191724656
PG,0.0,0.4524756448406735,0.4815917283024449,0.059823586610698865
MA,0.0,0.2488785850406594,0.12885619733205944,0.17220581636940346
HD,0.0,-0.5184728117606543,-0.4233778723496182,0.01802631319154968
BAC,0.0,-1.2184895678479655,-0.9750705186440971,-0.17944781037279323
CVX,0.0,-1.2606020848876849,-0.40010677375143944,-0.009186486416667083
LLY,0.0,1.9943697082243417,0.9560146230455504,0.45167185372427665
XOM,0.0,-1.2038067524356446,-0.4324495137818283,0.229857873790294
AVGO,0.0,0.2925577120768046,0.3065146381467043,0.17168326138873213
COST,0.0,0.09211937088537026,-0.032830911538811236,0.04906603776309537
ABBV,0.0,-1.356805774456883,-0.18864579448836372,-0.005657178741293678
PFE,0.0,-1.1418819644856781,-0.6129734446132744,-0.23627624462583585
MRK,0.0,0.12080488683418533,0.31007058657473685,0.30069549959420694
PEP,0.0,0.57600007474832,0.4166031056508852,0.1497602208605604
KO,0.0,-0.04192377668727909,0.27243844291821473,0.006373579924150996
ADBE,0.0,-1.0313634430631686,-0.3016414622934982,-0.07705746006962799
CSCO,0.0,-0.8019729750217577,-0.012830761692812942,0.01770472703496284
WMT,0.0,0.07057126152172444,0.1562514292604842,0.06071211624070283
MCD,0.0,0.20341355429608177,0.42304550120090445,0.22064890528330516
ACN,0.0,-0.012647784113306137,-0.03105482392900427,0.0361701408445132
CRM,0.0,0.46917211036998685,0.7917158993036013,0.29380849767459494
TMO,0.0,-1.460082647764939,-0.3527212129121797,0.003450717218993371
DIS,0.0,-1.0815294119089711,-0.6235028157163116,-0.09823210407662919
LIN,0.0,0.12477124469655854,0.4023520705895738,0.21828773775876675
NFLX,0.0,0.06515811471517097,-0.24434200725656074,0.7006237240667684
ABT,0.0,0.5883544882050544,0.12669244077442743,0.044405294157180086
DHR,0.0,-1.4683207616976066,-0.48070109397633676,-0.04642017795720432
WFC,0.0,-0.7339786515293398,-0.8331832665061012,-0.02531676805298755
CMCSA,0.0,0.5838365335897331,0.13722507642862247,0.03400528788057966
VZ,0.0,-1.0444754192215728,-0.36208093441533373,-0.20420676599032372
NEE,0.0,-0.389237103504827,0.03898951074320012,0.14445052422571114
NKE,0.0,-0.9374084096170874,-0.2802299947733031,0.11420706167553152
PM,0.0,-0.7280392087845429,-0.2502375344439942,-0.03015582240240755
TXN,0.0,-1.0451955892039644,-0.25127636786257224,0.03386929046661946
HON,0.0,-0.30285333956918015,-0.13286237689313873,0.03580601649446491
UPS,0.0,-1.5837479558382932,-0.3458658678667481,0.009036779909430415
LOW,0.0,-0.2647826036780412,-0.23195047103406097,0.09590284356960799
RTX,0.0,-0.9051508792403324,-0.2011374375353916,0.09082154745023041
MS,0.0,-0.9141725948279356,-0.7508657900251339,0.09305491199736293
INTC,0.0,-1.0319628507498049,0.16476187208928028,-0.2864106281957598
GS,0.0,-0.6688799967048547,-0.529587206391819,0.10981425172215609
AMD,0.0,1.6021587952440202,0.7670956924812327,0.21533235240189696
IBM,0.0,-0.24759960996338704,-0.3215955455328232,-0.006423471200582509
SBUX,0.0,-0.21531681590532514,-0.04901245533370879,0.39748535301108123
CAT,0.0,-0.9162226962749478,-0.5940427858324147,0.08989079867882699
DE,0.0,-0.8946739645726627,-0.420994922098338,0.0606448387870524
UNP,0.0,-0.17273595939644615,-0.07557815299620207,-0.0981521306389983
BA,0.0,-0.23045050209758244,-0.2947660323205712,0.5412241576395903
AAPL,0.0,0.4792428630101484,0.45223470801026266,0.2293691831014637
MSFT,0.0,1.0943424528986778,0.6598848770072494,0.25008594585462685
AMZN,0.0,1.5218514644044743,0.5814729849918785,0.1399530482391247
NVDA,0.0,1.1019449722478756,1.2228461615946258,0.7162942283645726
GOOGL,0.0,1.7860508894266731,0.925082149591542,0.12786147289822525
GOOG,0.0,1.7771148054385186,0.9397859029989264,0.13117853674463975
META,0.0,1.4056879908634605,1.3356179266548902,0.3662207560335704
TSLA,0.0,-0.568545322775821,-0.7021222555831406,-0.12430465820393499
BRK-B,0.0,0.10957655793134968,0.23603971730528928,0.0796236878722878
JPM,0.0,-0.2285840057991444,-0.07296816925745153,0.23063713573278555
JNJ,0.0,-0.14533375378570312,0.03302332674460917,-0.07286237836288079
V,0.0,-0.011323370609705563,0.08611243004118219,0.1984913135742098
