date,AAPL,MSFT,AMZN,NVDA,GOOGL,GOOG,META,TSLA,BRK-B,JPM,JNJ,V,UNH,PG,MA,HD,BAC,CVX,LLY,XOM,AVGO,COST,ABBV,PFE,MRK,PEP,KO,ADBE,CSCO,WMT,MCD,ACN,CRM,TMO,DIS,LIN,NFLX,ABT,DHR,WFC,CMCSA,VZ,NEE,NKE,PM,TXN,HON,UPS,LOW,RTX,MS,INTC,GS,AMD,IBM,SBUX,CAT,DE,UNP,BA,SPY
2010-01-04,6.43,23.21,6.7,0.42387,15.59,15.54,,,66.220001,28.83,40.97,19.72,24.92,38.96,23.68,19.81,12.3,42.6,23.57,38.57,1.33,42.28,,9.68,20.98,38.71,17.69,37.09,16.26,13.02,41.03,31.65,18.57,45.06,27.59,60.63,7.64,18.53,23.68,18.23,6.14,14.16,8.47,13.42,23.75,17.41,27.41,35.22,17.47,29.21,20.9,13.52,131.99,9.7,73.71,8.73,39.55,41.7,23.46,43.777542,85.51
2010-01-05,6.44,23.22,6.73,0.43006,15.52,15.47,,,66.540001,29.39,40.5,19.49,24.88,38.97,23.61,19.95,12.7,42.91,23.16,38.72,1.34,42.15,,9.54,21.06,39.18,17.48,37.7,16.18,12.89,40.72,31.85,18.49,45.21,27.52,59.5,7.358571,18.38,23.65,18.73,6.06,14.19,8.39,13.47,23.54,17.31,27.46,35.28,17.29,28.77,21.66,13.52,134.33,9.71,72.82,8.93,40.02,41.54,23.78,45.211342,85.74
2010-01-06,6.34,23.08,6.61,0.43281,15.13,15.08,,,66.199997,29.55,40.83,19.23,25.13,38.78,23.58,19.89,12.85,42.91,23.33,39.05,1.35,42.7,,9.51,21.35,38.78,17.47,37.619999,16.08,12.86,40.16,32.18,18.46,45.64,27.38,60.03,7.6171,18.48,23.7,18.75,6.02,13.78,8.47,13.39,23.54,17.19,27.46,35.02,17.33,28.62,21.94,13.47,132.89,9.57,72.35,8.87,40.14,41.43,23.82,46.58279,85.8
2010-01-07,6.33,22.84,6.5,0.42433,14.78,14.73,,,66.459999,30.13,40.54,19.41,26.09,38.57,23.42,20.12,13.27,42.75,23.21,38.93,1.34,42.49,,9.47,21.38,38.54,17.43,36.889999,16.15,12.87,40.46,32.15,18.38,45.64,27.39,60.18,7.4857,18.63,23.89,19.43,6.14,13.7,8.45,13.52,23.84,17.24,27.99,34.75,17.83,28.74,22.26,13.34,135.49,9.47,72.1,8.84,40.3,41.72,23.61,48.468559,86.16
2010-01-08,6.37,22.99,6.68,0.42525,14.98,14.92,,,66.440002,30.06,40.68,19.46,25.85,38.52,23.43,20.02,13.15,42.82,23.04,38.78,1.35,42.19,,9.55,21.37,38.41,17.11,36.689999,16.24,12.8,40.42,32.03,18.41,46.4,27.43,60.58,7.614286,18.73,24.23,19.25,6.13,13.71,8.37,13.5,23.71,17.63,28.61,36.42,17.79,28.8,21.81,13.49,132.93,9.43,72.82,8.81,40.76,42.86,24.41,48.001015,86.45
2010-01-11,6.31,22.7,6.52,0.41929,14.95,14.9,,,66.5,29.96,40.68,19.41,26.02,38.37,23.05,19.46,13.27,43.58,23.35,39.21,1.36,42.24,,9.62,21.46,38.37,17.45,36.209999,16.19,13.01,40.73,32.0,18.28,46.95,26.98,61.15,7.604286,18.82,24.5,19.21,6.09,13.76,8.37,13.33,23.79,17.41,28.97,38.03,17.64,29.42,21.66,13.57,130.83,9.14,72.06,8.79,43.32,44.59,24.24,47.432171,86.57
2010-01-12,6.24,22.55,6.37,0.40507,14.69,14.64,,,66.0,29.26,40.9,19.32,25.33,38.81,23.03,19.33,12.83,43.33,23.27,39.01,1.34,42.01,,9.59,21.29,38.9,17.64,35.66,15.93,13.14,40.96,31.79,16.95,46.18,26.52,60.49,7.4814,18.77,24.16,18.73,5.98,13.78,8.16,13.31,23.66,16.68,28.64,37.77,17.6,29.25,21.05,13.35,127.98,8.65,72.63,8.64,42.04,42.68,24.17,47.089306,85.76
2010-01-13,6.33,22.76,6.46,0.41058,14.6,14.55,,,66.0,29.77,41.16,19.5,25.72,39.21,23.63,19.44,13.03,43.0,23.59,38.86,1.3,42.27,,9.82,22.07,39.22,17.69,36.279999,16.22,13.21,40.91,32.15,17.0,46.2,26.92,61.56,7.708571,18.95,24.22,19.07,6.07,13.76,8.19,13.43,23.9,16.75,28.75,37.57,17.51,29.59,21.14,13.57,128.93,9.15,72.48,8.85,42.1,43.35,24.2,47.65815,86.49
2010-01-14,6.29,23.22,6.37,0.40416,14.67,14.62,,,65.959999,30.07,41.24,19.56,26.34,39.25,24.03,19.55,13.19,42.87,23.69,38.86,1.3,41.79,,9.91,22.67,39.69,17.72,35.9,16.43,13.01,40.95,32.44,17.17,45.93,26.69,60.22,7.284286,18.97,24.32,19.34,6.04,13.48,7.95,13.35,23.87,16.54,28.92,37.65,17.49,29.69,21.1,13.91,128.52,9.0,73.63,8.92,41.86,43.4,23.81,47.969856,86.72
2010-01-15,6.19,23.14,6.36,0.39224,14.43,14.38,,,64.940002,29.39,40.9,19.27,26.68,38.76,24.23,19.74,12.75,42.7,23.57,38.55,1.28,41.84,,9.96,22.37,39.37,17.46,35.869999,16.06,12.89,40.71,32.21,17.04,45.29,26.33,60.18,7.278571,19.01,24.02,18.73,6.02,13.2,8.04,13.22,23.88,16.4,28.96,37.49,17.51,29.35,20.54,13.47,125.99,8.84,73.34,8.81,40.89,41.9,23.52,47.393215,85.75
2010-01-19,6.46,23.32,6.38,0.39957,14.62,14.57,,,66.639999,29.12,41.4,19.65,27.77,39.34,24.42,19.95,12.79,42.94,24.62,38.64,1.25,41.95,,10.22,23.03,39.4,17.5,36.95,16.36,12.97,41.49,32.91,17.25,46.45,26.68,60.27,7.314286,19.26,24.2,18.87,6.09,13.48,8.09,13.29,24.11,16.55,29.11,37.68,17.5,29.48,21.07,13.63,127.25,9.01,74.65,8.93,41.44,42.89,23.5,47.260731,86.82
2010-01-20,6.36,22.94,6.29,0.39785,14.44,14.39,,,69.519997,29.2,41.27,19.56,27.31,38.8,24.3,19.8,12.93,42.11,24.55,37.94,1.27,41.47,,10.19,23.26,39.16,17.21,36.49,16.07,12.93,41.18,32.73,17.02,46.26,26.84,60.03,7.32,19.27,23.95,18.56,5.98,13.26,7.95,13.18,23.7,16.44,28.77,37.02,17.26,29.13,20.71,13.65,127.96,8.87,72.49,8.82,40.64,41.73,22.86,46.910072,85.94
2010-01-21,6.25,22.51,6.33,0.39086,14.5,14.45,,,72.720001,27.28,40.52,18.89,26.16,38.41,23.85,19.68,12.13,41.08,23.77,37.2,1.27,40.93,,9.83,22.72,38.52,16.86,35.82,15.79,12.7,41.31,32.42,16.6,45.31,26.34,59.1,7.312857,19.04,23.54,18.68,5.79,13.22,7.8,13.07,22.97,16.19,27.67,36.14,17.33,28.6,19.84,13.5,122.68,8.99,71.79,8.96,38.66,41.24,23.48,46.130856,84.28
2010-01-22,5.94,21.72,6.07,0.37734,13.68,13.64,,,70.099998,26.35,40.04,18.51,26.21,38.71,23.23,19.15,11.68,40.19,23.38,36.87,1.24,40.61,,9.69,22.03,38.17,16.82,34.38,15.12,12.71,41.43,31.73,16.02,44.62,25.79,58.16,7.27,18.68,23.15,18.19,5.74,13.1,7.66,12.93,22.53,15.47,27.09,35.56,16.89,28.17,18.8,12.89,117.53,7.88,69.84,8.67,36.89,39.43,22.9,45.016548,82.41
2010-01-25,6.1,21.99,6.02,0.38376,13.43,13.39,,,68.839996,26.38,40.05,18.35,26.08,38.92,23.29,19.08,11.74,40.17,23.53,36.73,1.24,40.96,,9.63,21.97,38.07,16.86,34.16,15.14,12.69,41.24,31.51,15.92,44.68,25.74,59.04,7.018571,18.74,23.48,18.45,5.8,13.25,7.59,13.08,22.64,15.86,27.32,35.56,16.75,27.97,18.76,13.16,118.19,8.07,70.19,8.48,37.5,39.93,22.87,45.024323,82.83
